Report ID,Report Name,Workspace ID
"d2639ad6-03db-4d9b-8011-30c0bc80df2b","Linkedin Sales Navigator","f53e32c6-b02d-4529-8d0b-94d35eb4bfe8"
"d74d802d-d590-4ca7-9745-be1d1f866bc5","[App] Linkedin Sales Navigator","f53e32c6-b02d-4529-8d0b-94d35eb4bfe8"
"18500f4d-5b19-4abc-ac12-49b495f38915","Power BI Apps on AppSource","b596e5d3-a0fc-4216-8bdd-8e7183fe4330"
"5b7cd27f-82d4-4afb-a504-117d7bf4de67","[App] Power BI Apps on AppSource","b596e5d3-a0fc-4216-8bdd-8e7183fe4330"
"bb0027e3-5c0b-49ed-91e9-a85c52cebdbe","2 Clienten Dashboard Werk & Participatie - 181023","1e2026f6-e4ab-44f5-a157-02264fd0b0b2"
"9c31d257-d726-408b-8476-c2630c14fc70","Datamart IB","cb309f19-a108-49b8-88ea-53a86c6b0f6d"
"9844edd0-d1f0-4c8a-bff5-8987cebffa74","Dashboard backoffice","cb309f19-a108-49b8-88ea-53a86c6b0f6d"
"e0862afb-3dbf-4b64-8c3a-ce96ccd0bc04","Datamart Hardenberg SP","cb309f19-a108-49b8-88ea-53a86c6b0f6d"
"dbf213f0-e2d0-46df-a940-9690fda1afd3","Particpatie","cb309f19-a108-49b8-88ea-53a86c6b0f6d"
"539c0f7e-74ff-4906-8524-70d26857f0a0","PGB DashboardV2","892fa701-1bcc-4ba0-a97c-26654b4ff278"
"61d9d8dd-9f73-4958-8610-236bb9e63109","Report Usage Metrics Report","892fa701-1bcc-4ba0-a97c-26654b4ff278"
"36070a1f-9a89-4b6f-9ee1-16334781598b","Dashboard finance","892fa701-1bcc-4ba0-a97c-26654b4ff278"
"72379929-0d40-43e2-a553-7d8970f39473","test","892fa701-1bcc-4ba0-a97c-26654b4ff278"
"24313cde-4884-4d1d-a494-19e993dda0b9","Management","cb309f19-a108-49b8-88ea-53a86c6b0f6d"
"7eb8b006-9a57-4fac-b52b-5034fed1896f","Financieel","cb309f19-a108-49b8-88ea-53a86c6b0f6d"
"ca20552b-cfc9-4db1-aeda-d212626ee692","GemeenteHardenbergWerkdrukmeter","2ef179c8-7f69-48ef-b431-47fd19c0a693"
"7a5139bf-ab1b-43e1-8e59-d0ac6431d90e","Template Stylessheet v3_5_1","3e459af9-d0fc-4eb6-96a5-ad4eb38f3d18"
"502f31be-f235-4d83-a20e-e3362647a999","DashboardGemeentelijkVastgoed","1ef770b4-8137-4dea-a94b-75f494ca4a1c"
"6dcd3072-96a7-4446-9782-c561ed7b4737","Sociaal Domein SP","cb309f19-a108-49b8-88ea-53a86c6b0f6d"
"70675919-28e0-4246-9458-8ddb8a821120","Kwaliteit- en procesmonitor WOZ-BAG V10","9f44e37a-002b-47f6-850b-6ddd0d1ebb12"
"ae2288a3-3777-4e9a-8a15-ff4855b1327c","Kwaliteit- en procesmonitor WOZ-BAG datafundament","9f44e37a-002b-47f6-850b-6ddd0d1ebb12"
"987ab0c3-fca1-46f7-9b22-ef26727d0066","DashboardGemeentelijkVastgoed_2","1ef770b4-8137-4dea-a94b-75f494ca4a1c"
"444e6109-c851-4273-8939-086554aba38b","test ympkje","3e459af9-d0fc-4eb6-96a5-ad4eb38f3d18"
"de80f589-9f33-4e6a-89a6-56af24272ce3","Inwoners scorecard","3e459af9-d0fc-4eb6-96a5-ad4eb38f3d18"
"22ce8870-b8a0-45d1-b537-21f766bb3242","Data Jeugdzorg Hardenberg","892fa701-1bcc-4ba0-a97c-26654b4ff278"
"19412a11-eaa8-46f5-861b-4a212ec95557","Staat van Hardenberg","f32fa36e-ae6a-4bf5-bd74-5f61bdde89bb"
"79d3b44d-b063-4e93-a766-778a4f4dccde","DashboardGemeentelijkVastgoed_Fase2_Ontwikkel","1ef770b4-8137-4dea-a94b-75f494ca4a1c"
"0f554b00-13d6-42e2-846c-bef76ea0ed1f","DashboardGemeentelijkVastgoed_Fase2_Ontwikkel 311024","1ef770b4-8137-4dea-a94b-75f494ca4a1c"
"e428c96e-fefe-4498-9a83-d7ec0265028c","Gepagineerd rapport test","1ef770b4-8137-4dea-a94b-75f494ca4a1c"
"c102f9ed-ebce-4ae5-bb4b-e82a3e8c2cdf","test rapport","1ef770b4-8137-4dea-a94b-75f494ca4a1c"
"02aca23a-70ec-4c86-8547-ebe20df9a02b","DashboardGemeentelijkVastgoed_Fase2_Ontwikkel 041124","1ef770b4-8137-4dea-a94b-75f494ca4a1c"
"068d620d-3b76-4a8f-9aea-738126fc8cd6","Gepagineerd rapport test 2","1ef770b4-8137-4dea-a94b-75f494ca4a1c"
"dee597ff-0209-422b-ab74-7bea24e56e7c","Rapport portefeuille algemeen","1ef770b4-8137-4dea-a94b-75f494ca4a1c"
"873fb0d9-b1e5-414b-a9df-a646f6702566","Sprint planning & organisatie v2","f559012c-e25a-4a38-a075-a5ba4b5ba547"
"cead3866-e5aa-4f58-8254-f4f9f59b08db","Conceptrapportage PowerBI Meldingen en pentest V0.6","619abd8b-b15f-49a3-8ca4-5137c635f4f1"
"58ca37a5-790e-4a15-a058-0cb944c6e0ef","Kwaliteit- en procesmonitor fase 2.5","9f44e37a-002b-47f6-850b-6ddd0d1ebb12"
"392c75d1-9730-491c-9003-31bd80459b81","Kwaliteit- en procesmonitor fase 2.6","9f44e37a-002b-47f6-850b-6ddd0d1ebb12"
"96323433-cc64-4489-b0b1-b6abc44d45eb","Kwaliteit- en procesmonitor feedback Poula en Els","9f44e37a-002b-47f6-850b-6ddd0d1ebb12"
"b60d4878-6691-4e3e-ac98-3ce230163423","DEMO kwaliteit en procesmonitor WOZBAG","9f44e37a-002b-47f6-850b-6ddd0d1ebb12"
"b47d35d9-3347-430b-a3f5-75a1a944bfb2","Gantt 2.0","0f764942-ac5f-40c6-84b9-4d053bb2e002"
"9c1194cd-7109-463d-9bf0-c3558100190e","Data WMO","892fa701-1bcc-4ba0-a97c-26654b4ff278"
"32596649-d15b-4018-88b9-c918987aa83e","Kwaliteit- en procesmonitor fase 3.0 Ontwikkel","9f44e37a-002b-47f6-850b-6ddd0d1ebb12"
"1396c843-765f-48fa-b53f-4ed092e0d349","Sprint planning & organisatie - Team Data","f559012c-e25a-4a38-a075-a5ba4b5ba547"
"f57b83d5-ae4e-4148-bf12-0284ff402e8b","Hardenberg Gantt PRD","0f764942-ac5f-40c6-84b9-4d053bb2e002"
"9cecbb41-08ce-402b-bcad-417fd59e0995","Staat van Hardenberg - Ontwikkel","f32fa36e-ae6a-4bf5-bd74-5f61bdde89bb"
"35c73af1-7867-4d56-bfa1-412c28ce4f94","Report Usage Metrics Report","f32fa36e-ae6a-4bf5-bd74-5f61bdde89bb"
"10b9b883-386b-493a-87c3-7e549d5b607e","Report Usage Metrics Report","1ef770b4-8137-4dea-a94b-75f494ca4a1c"
"0ae7f60d-aa35-4249-a781-ec5028034930","Hardenberg Gantt PRD_YW","3e459af9-d0fc-4eb6-96a5-ad4eb38f3d18"
"21dfcc2d-7f5f-4266-b887-73fb67b05d25","Hardenberg Gantt PRD_130325","3e459af9-d0fc-4eb6-96a5-ad4eb38f3d18"
"613f23fd-74ce-42b5-ae53-49e486fef02d","Hardenberg Gantt PRD_130325","0f764942-ac5f-40c6-84b9-4d053bb2e002"
"3ded9b63-73fe-4567-9d36-aa6ef61496ab","test Ympkje","1ef770b4-8137-4dea-a94b-75f494ca4a1c"
"3ae49b52-d361-421e-8f07-a624e5dd104d","Usage Metrics Report","1ef770b4-8137-4dea-a94b-75f494ca4a1c"
"0f808384-3997-46aa-88c5-94af95af76c7","Report Usage Metrics Report","0f764942-ac5f-40c6-84b9-4d053bb2e002"
"f542d455-bb4d-4151-91fd-7cd39f7a54f8","Usage Metrics Report","0f764942-ac5f-40c6-84b9-4d053bb2e002"
"02c5bd1f-ceb6-42b2-a8c9-6bceb5866c79","Hardenberg Gantt PRD_170425","0f764942-ac5f-40c6-84b9-4d053bb2e002"
"e6e9ad79-767e-4124-93a3-4019602e12e3","CEO dashboard Hardenberg CM v2","64f65247-f25c-461d-92bc-4b5621eebe1d"
"bee6f5fd-f741-48e5-be34-e401689e3232","2 Clienten Dashboard Werk & Participatie new design v5.3","f559012c-e25a-4a38-a075-a5ba4b5ba547"
"00d1a918-04ff-4a6e-967a-25f78e112f91","Hardenberg Gantt TST","0f764942-ac5f-40c6-84b9-4d053bb2e002"
"451aef12-e5a8-461c-80e5-ba472f232a70","Hardenberg Gantt (TEST)","0f764942-ac5f-40c6-84b9-4d053bb2e002"
"ee28a3b3-bb10-4549-8cd1-dcb922de6485","Staat van Hardenberg - Ontwikkel - nieuw design","f32fa36e-ae6a-4bf5-bd74-5f61bdde89bb"
"446f9b82-2f44-42b6-9798-fed8b8764da8","Staat van Hardenberg - Ontwikkel - nieuw design_20250818_met nieuwe kaart","f32fa36e-ae6a-4bf5-bd74-5f61bdde89bb"
